doc_id,item,category,amount,price,discount,store_id,cash_id,receipt_date
260113193932_ESQ4IR,Жидкое мыло для рук 500мл,бытовая химия,1,103.24,0.0,4,3,2026-01-13
260113193932_ESQ4IR,Пресс для чеснока,кухонная утварь,1,122.34,0.0,4,3,2026-01-13
260113193932_ESQ4IR,Формы для выпечки набор 3шт,посуда,3,977.84,0.0,4,3,2026-01-13
260113193932_W27VW1,Таймер кухонный механический,кухонная утварь,5,301.44,0.0,4,3,2026-01-13
260113193932_W27VW1,Совок и щетка для мусора,хозтовары,5,108.54,0.0,4,3,2026-01-13
260113193932_W27VW1,Степлер строительный,инструменты,4,755.04,207.86,4,3,2026-01-13
260113193932_W27VW1,Полотенце кухонное 50х70см,текстиль,5,261.13,0.0,4,3,2026-01-13
260113193932_W27VW1,Ножовка по металлу,инструменты,5,566.58,102.06,4,3,2026-01-13
260113193932_W27VW1,Светодиодная лента 5м,освещение,4,829.49,0.0,4,3,2026-01-13
260113193932_TYXSJK,Настольная лампа с LED,освещение,2,955.24,55.26,4,3,2026-01-13
260113193932_15OZO5,Набор столовых приборов 24 предмета,посуда,3,2641.38,0.0,4,3,2026-01-13
260113193932_15OZO5,Консервный нож ручной,кухонная утварь,4,163.43,18.52,4,3,2026-01-13
260113193932_15OZO5,Ящик пластиковый для хранения 60л,хозтовары,4,873.49,0.0,4,3,2026-01-13
260113193932_15OZO5,Лампа светодиодная E27 10Вт,освещение,1,292.16,17.62,4,3,2026-01-13
260113193932_15OZO5,Средство для чистки унитаза 750мл,бытовая химия,5,292.65,0.0,4,3,2026-01-13
260113193932_15OZO5,Водоочистительный фильтр,сантехника,4,1721.83,336.29,4,3,2026-01-13
260113193932_15OZO5,Лейка пластиковая 5л,хозтовары,1,292.54,29.68,4,3,2026-01-13
260113193932_15OZO5,Измельчитель ручной,кухонная утварь,2,519.4,0.0,4,3,2026-01-13
260113193932_3XYVNB,Ведро пластиковое 10л,хозтовары,4,241.03,0.0,4,3,2026-01-13
260113193932_3XYVNB,Водоочистительный фильтр,сантехника,5,1494.26,0.0,4,3,2026-01-13
260113193932_3XYVNB,Стеклянный графин 1л,посуда,1,425.9,51.27,4,3,2026-01-13
260113193932_3XYVNB,Светильник настенный бра,освещение,2,961.3,0.0,4,3,2026-01-13
260113193932_3XYVNB,Средство для чистки стекол 500мл,бытовая химия,5,125.73,0.0,4,3,2026-01-13
260113193932_3XYVNB,Кухонные весы электронные 5кг,кухонная утварь,4,553.79,44.82,4,3,2026-01-13
260113193932_3XYVNB,Лампа для растений фитолампа,освещение,3,1297.23,0.0,4,3,2026-01-13
260113193932_3XYVNB,Фум лента 12ммх12м,сантехника,4,31.95,0.0,4,3,2026-01-13
260113193932_X85V8P,Постельное белье 1.5-спальное,текстиль,5,3101.68,0.0,4,3,2026-01-13
260113193932_X85V8P,Полипропиленовая труба 20мм 2м,сантехника,1,140.19,0.0,4,3,2026-01-13
260113193932_EJ39PP,Стеклянный бокал для вина 450мл,посуда,1,251.06,0.0,4,3,2026-01-13
260113193932_EJ39PP,Кусачки боковые 180мм,инструменты,5,494.4,0.0,4,3,2026-01-13
260113193932_EJ39PP,Унитаз компакт,сантехника,2,3858.16,842.11,4,3,2026-01-13
260113193932_EJ39PP,Смеситель для раковины,сантехника,4,3383.75,465.26,4,3,2026-01-13
260113193932_EJ39PP,Матрас ортопедический 90х200,мебель,1,14510.16,3817.59,4,3,2026-01-13
260113193932_EJ39PP,Люминесцентная лампа 18Вт,освещение,3,313.35,0.0,4,3,2026-01-13
260113193932_EJ39PP,Наволочка 50х70см,текстиль,1,221.5,0.0,4,3,2026-01-13
260113193932_EJ39PP,Сетевой фильтр 6 розеток,электротовары,2,513.56,0.0,4,3,2026-01-13
260113193932_EJ39PP,Швабра с отжимом,хозтовары,4,342.19,50.06,4,3,2026-01-13
260113193932_EJ39PP,Стеллаж книжный 5 полок,мебель,3,5155.46,0.0,4,3,2026-01-13
260113193932_PQTT0B,Разделочная доска пластиковая,кухонная утварь,2,454.23,0.0,4,3,2026-01-13
260113193932_5OKBG4,Полипропиленовая труба 20мм 2м,сантехника,3,204.98,56.87,4,3,2026-01-13
260113193932_5OKBG4,Светильник потолочный точечный,освещение,5,228.25,0.0,4,3,2026-01-13
260113193932_5OKBG4,Шторы тюль 3м,текстиль,1,1409.02,0.0,4,3,2026-01-13
260113193932_5OKBG4,Полипропиленовая труба 20мм 2м,сантехника,5,99.51,0.0,4,3,2026-01-13
260113193932_9OGCYI,Антистатик для одежды 400мл,бытовая химия,1,240.2,36.67,4,3,2026-01-13
260113193932_9OGCYI,Набор столовых приборов 24 предмета,посуда,1,3252.81,0.0,4,3,2026-01-13
260113193932_9OGCYI,Швабра с отжимом,хозтовары,1,581.68,0.0,4,3,2026-01-13
